Day,Day of Year, Mean Wind SpeedMPH, Max Gust SpeedMPH, WindDirDegrees
304,31-Oct,7,17,258
305,1-Nov,3,12,199
306,2-Nov,1,8,187
307,3-Nov,3,10,157
308,4-Nov,4,10,220
309,5-Nov,5,28,270
310,6-Nov,3,9,256
311,7-Nov,2,8,273
312,8-Nov,6,19,310
313,9-Nov,3,13,64
314,10-Nov,6,24,218
315,11-Nov,3,8,124
316,12-Nov,2,9,186
317,13-Nov,3,16,266
318,14-Nov,1,7,53
319,15-Nov,3,9,114
320,16-Nov,3,11,159
321,17-Nov,4,15,156
322,18-Nov,11,32,255
323,19-Nov,4,16,125
324,20-Nov,8,34,255
325,21-Nov,6,31,236
326,22-Nov,3,21,53
327,23-Nov,5,10,140
328,24-Nov,3,12,128
329,25-Nov,4,13,116
330,26-Nov,5,14,124
331,27-Nov,4,11,164
332,28-Nov,4,11,153
333,29-Nov,3,12,157
334,30-Nov,4,12,12
335,1-Dec,4,10,149
336,2-Dec,4,9,132
337,3-Dec,5,20,279
338,4-Dec,1,7,254
339,5-Dec,6,31,96
340,6-Dec,7,25,271
341,7-Dec,3,13,258
342,8-Dec,7,29,179
343,9-Dec,10,33,230
344,10-Dec,14,44,204
345,11-Dec,9,32,188
346,12-Dec,8,36,230
347,13-Dec,6,26,291
348,14-Dec,4,14,148
349,15-Dec,4,10,132
350,16-Dec,4,12,127
351,17-Dec,6,27,293
352,18-Dec,6,20,283
353,19-Dec,6,25,318
354,20-Dec,3,14,175
355,21-Dec,4,13,136
356,22-Dec,4,20,240
357,23-Dec,4,27,304
358,24-Dec,10,27,264
359,25-Dec,6,14,158
360,26-Dec,3,9,155
361,27-Dec,3,16,145
362,28-Dec,9,26,305
363,29-Dec,6,19,186
364,30-Dec,4,20,262
365,31-Dec,5,14,262
